model,policy,dataset,conflict_name,primary_constraint_met,secondary_constraint_met,none_constraint_met,conflict_recognized
Llama-3.1-8B-conflict_1,constraint_following_baseline,conflicting_instructions_rich_context,case_conflict,0.04,0.0,0.96,0.02
Llama-3.1-8B-conflict_1,constraint_following_baseline,conflicting_instructions_rich_context,language_conflict: en_fr,1.0,0.0,0.0,0.01
Llama-3.1-8B-conflict_1,constraint_following_baseline,conflicting_instructions_rich_context_reversed,case_conflict,0.25,0.0,0.75,0.0
Llama-3.1-8B-conflict_1,constraint_following_baseline,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.98,0.01,0.01,0.02
Llama-3.1-8B-conflict_1,emphasized_separation,conflicting_instructions,case_conflict,0.06,0.0,0.94,0.01
Llama-3.1-8B-conflict_1,emphasized_separation,conflicting_instructions,language_conflict: en_fr,0.92,0.08,0.0,0.0
Llama-3.1-8B-conflict_1,emphasized_separation,conflicting_instructions_reversed,case_conflict,0.37,0.0,0.63,0.0
Llama-3.1-8B-conflict_1,emphasized_separation,conflicting_instructions_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.0
Llama-3.1-8B-conflict_1,emphasized_separation,conflicting_instructions_rich_context,case_conflict,0.03,0.04,0.93,0.02
Llama-3.1-8B-conflict_1,emphasized_separation,conflicting_instructions_rich_context,language_conflict: en_fr,0.13,0.86,0.01,0.061
Llama-3.1-8B-conflict_1,emphasized_separation,conflicting_instructions_rich_context_reversed,case_conflict,0.2,0.01,0.79,0.01
Llama-3.1-8B-conflict_1,emphasized_separation,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.92,0.06,0.02,0.05
Llama-3.1-8B-conflict_1,marked_system_basic,conflicting_instructions,case_conflict,0.13,0.0,0.87,0.13
Llama-3.1-8B-conflict_1,marked_system_basic,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.05
Llama-3.1-8B-conflict_1,marked_system_basic,conflicting_instructions_reversed,case_conflict,0.59,0.0,0.41,0.04
Llama-3.1-8B-conflict_1,marked_system_basic,conflicting_instructions_reversed,language_conflict: en_fr,0.96,0.01,0.03,0.09
Llama-3.1-8B-conflict_1,marked_system_basic,conflicting_instructions_rich_context,case_conflict,0.02,0.01,0.97,0.07
Llama-3.1-8B-conflict_1,marked_system_basic,conflicting_instructions_rich_context,language_conflict: en_fr,0.58,0.41,0.01,0.05
Llama-3.1-8B-conflict_1,marked_system_basic,conflicting_instructions_rich_context_reversed,case_conflict,0.33,0.0,0.67,0.02
Llama-3.1-8B-conflict_1,marked_system_basic,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.9,0.02,0.08,0.121
Llama-3.1-8B-conflict_1,marked_system_detailed,conflicting_instructions,case_conflict,0.15,0.0,0.85,0.23
Llama-3.1-8B-conflict_1,marked_system_detailed,conflicting_instructions,language_conflict: en_fr,0.99,0.0,0.01,0.16
Llama-3.1-8B-conflict_1,marked_system_detailed,conflicting_instructions_reversed,case_conflict,0.48,0.0,0.52,0.13
Llama-3.1-8B-conflict_1,marked_system_detailed,conflicting_instructions_reversed,language_conflict: en_fr,0.95,0.02,0.03,0.19
Llama-3.1-8B-conflict_1,marked_system_detailed,conflicting_instructions_rich_context,case_conflict,0.03,0.0,0.97,0.04
Llama-3.1-8B-conflict_1,marked_system_detailed,conflicting_instructions_rich_context,language_conflict: en_fr,0.87,0.13,0.0,0.02
Llama-3.1-8B-conflict_1,marked_system_detailed,conflicting_instructions_rich_context_reversed,case_conflict,0.33,0.0,0.67,0.03
Llama-3.1-8B-conflict_1,marked_system_detailed,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.89,0.02,0.09,0.06
Llama-3.1-8B-conflict_1,marked_user_basic,conflicting_instructions,case_conflict,0.12,0.0,0.88,0.24
Llama-3.1-8B-conflict_1,marked_user_basic,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.14
Llama-3.1-8B-conflict_1,marked_user_basic,conflicting_instructions_reversed,case_conflict,0.57,0.0,0.43,0.08
Llama-3.1-8B-conflict_1,marked_user_basic,conflicting_instructions_reversed,language_conflict: en_fr,0.92,0.03,0.05,0.17
Llama-3.1-8B-conflict_1,marked_user_basic,conflicting_instructions_rich_context,case_conflict,0.01,0.01,0.98,0.09
Llama-3.1-8B-conflict_1,marked_user_basic,conflicting_instructions_rich_context,language_conflict: en_fr,0.61,0.36,0.03,0.05
Llama-3.1-8B-conflict_1,marked_user_basic,conflicting_instructions_rich_context_reversed,case_conflict,0.35,0.0,0.65,0.01
Llama-3.1-8B-conflict_1,marked_user_basic,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.93,0.0,0.07,0.09
Llama-3.1-8B-conflict_1,marked_user_detailed,conflicting_instructions,case_conflict,0.18,0.0,0.82,0.47
Llama-3.1-8B-conflict_1,marked_user_detailed,conflicting_instructions,language_conflict: en_fr,0.96,0.0,0.04,0.41
Llama-3.1-8B-conflict_1,marked_user_detailed,conflicting_instructions_reversed,case_conflict,0.44,0.0,0.56,0.26
Llama-3.1-8B-conflict_1,marked_user_detailed,conflicting_instructions_reversed,language_conflict: en_fr,0.96,0.0,0.04,0.47
Llama-3.1-8B-conflict_1,marked_user_detailed,conflicting_instructions_rich_context,case_conflict,0.01,0.01,0.98,0.17
Llama-3.1-8B-conflict_1,marked_user_detailed,conflicting_instructions_rich_context,language_conflict: en_fr,0.91,0.09,0.0,0.08
Llama-3.1-8B-conflict_1,marked_user_detailed,conflicting_instructions_rich_context_reversed,case_conflict,0.32,0.0,0.68,0.06
Llama-3.1-8B-conflict_1,marked_user_detailed,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.87,0.05,0.08,0.15
Llama-3.1-8B-conflict_1,task_specified_separation,conflicting_instructions,case_conflict,0.1,0.0,0.9,0.01
Llama-3.1-8B-conflict_1,task_specified_separation,conflicting_instructions,language_conflict: en_fr,0.99,0.01,0.0,0.0
Llama-3.1-8B-conflict_1,task_specified_separation,conflicting_instructions_reversed,case_conflict,0.52,0.0,0.48,0.0
Llama-3.1-8B-conflict_1,task_specified_separation,conflicting_instructions_reversed,language_conflict: en_fr,0.98,0.01,0.01,0.02
Llama-3.1-8B-conflict_1,task_specified_separation,conflicting_instructions_rich_context,case_conflict,0.02,0.01,0.97,0.02
Llama-3.1-8B-conflict_1,task_specified_separation,conflicting_instructions_rich_context,language_conflict: en_fr,0.08,0.87,0.05,0.03
Llama-3.1-8B-conflict_1,task_specified_separation,conflicting_instructions_rich_context_reversed,case_conflict,0.19,0.0,0.81,0.02
Llama-3.1-8B-conflict_1,task_specified_separation,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.86,0.07,0.07,0.04
Llama-3.1-8B-conflict_1,unmarked_system_basic,conflicting_instructions,case_conflict,0.17,0.0,0.83,0.05
Llama-3.1-8B-conflict_1,unmarked_system_basic,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.06
Llama-3.1-8B-conflict_1,unmarked_system_basic,conflicting_instructions_reversed,case_conflict,0.47,0.0,0.53,0.04
Llama-3.1-8B-conflict_1,unmarked_system_basic,conflicting_instructions_reversed,language_conflict: en_fr,0.92,0.04,0.04,0.11
Llama-3.1-8B-conflict_1,unmarked_system_basic,conflicting_instructions_rich_context,case_conflict,0.02,0.01,0.97,0.061
Llama-3.1-8B-conflict_1,unmarked_system_basic,conflicting_instructions_rich_context,language_conflict: en_fr,0.41,0.57,0.02,0.06
Llama-3.1-8B-conflict_1,unmarked_system_basic,conflicting_instructions_rich_context_reversed,case_conflict,0.32,0.0,0.68,0.01
Llama-3.1-8B-conflict_1,unmarked_system_basic,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.89,0.02,0.09,0.06
Llama-3.1-8B-conflict_1,unmarked_system_detailed,conflicting_instructions,case_conflict,0.16,0.0,0.84,0.11
Llama-3.1-8B-conflict_1,unmarked_system_detailed,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.08
Llama-3.1-8B-conflict_1,unmarked_system_detailed,conflicting_instructions_reversed,case_conflict,0.52,0.0,0.48,0.05
Llama-3.1-8B-conflict_1,unmarked_system_detailed,conflicting_instructions_reversed,language_conflict: en_fr,0.98,0.02,0.0,0.06
Llama-3.1-8B-conflict_1,unmarked_system_detailed,conflicting_instructions_rich_context,case_conflict,0.01,0.01,0.98,0.051
Llama-3.1-8B-conflict_1,unmarked_system_detailed,conflicting_instructions_rich_context,language_conflict: en_fr,0.55,0.42,0.03,0.051
Llama-3.1-8B-conflict_1,unmarked_system_detailed,conflicting_instructions_rich_context_reversed,case_conflict,0.29,0.0,0.71,0.01
Llama-3.1-8B-conflict_1,unmarked_system_detailed,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.89,0.02,0.09,0.051
Llama-3.1-8B-conflict_1,unmarked_user_basic,conflicting_instructions,case_conflict,0.19,0.0,0.81,0.15
Llama-3.1-8B-conflict_1,unmarked_user_basic,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.17
Llama-3.1-8B-conflict_1,unmarked_user_basic,conflicting_instructions_reversed,case_conflict,0.57,0.0,0.43,0.14
Llama-3.1-8B-conflict_1,unmarked_user_basic,conflicting_instructions_reversed,language_conflict: en_fr,0.96,0.01,0.03,0.12
Llama-3.1-8B-conflict_1,unmarked_user_basic,conflicting_instructions_rich_context,case_conflict,0.03,0.01,0.96,0.05
Llama-3.1-8B-conflict_1,unmarked_user_basic,conflicting_instructions_rich_context,language_conflict: en_fr,0.36,0.58,0.06,0.12
Llama-3.1-8B-conflict_1,unmarked_user_basic,conflicting_instructions_rich_context_reversed,case_conflict,0.32,0.0,0.68,0.04
Llama-3.1-8B-conflict_1,unmarked_user_basic,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.88,0.03,0.09,0.071
Llama-3.1-8B-conflict_1,unmarked_user_detailed,conflicting_instructions,case_conflict,0.16,0.0,0.84,0.3
Llama-3.1-8B-conflict_1,unmarked_user_detailed,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.26
Llama-3.1-8B-conflict_1,unmarked_user_detailed,conflicting_instructions_reversed,case_conflict,0.58,0.0,0.42,0.21
Llama-3.1-8B-conflict_1,unmarked_user_detailed,conflicting_instructions_reversed,language_conflict: en_fr,0.97,0.02,0.01,0.36
Llama-3.1-8B-conflict_1,unmarked_user_detailed,conflicting_instructions_rich_context,case_conflict,0.04,0.02,0.94,0.06
Llama-3.1-8B-conflict_1,unmarked_user_detailed,conflicting_instructions_rich_context,language_conflict: en_fr,0.52,0.45,0.03,0.1
Llama-3.1-8B-conflict_1,unmarked_user_detailed,conflicting_instructions_rich_context_reversed,case_conflict,0.35,0.0,0.65,0.05
Llama-3.1-8B-conflict_1,unmarked_user_detailed,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.92,0.01,0.07,0.1
